카테고리,메뉴명,레시피,레시피 출처,애매함 태그
전골,곱창전골,"곱창, 양, 대파, 마늘, 생강, 물, 당근, 양배추, 양파, 표고버섯, 미나리, 우동면, 쑥갓, 소금, 후추, 고춧가루, 고추장, 간장, 다진파, 밀가루",농림축산식품부,has_unclear_seasoning
조림,장조림,"쇠고기, 대파, 마늘, 생강, 물, 계란, 홍고추, 진간장, 설탕, 참기름",농림축산식품부,has_variant
죽,전복죽,"전복, 쌀, 물, 참기름, 소금, 깨소금, 실파, 김",농림축산식품부,
죽,호박죽,"호박, 팥, 찹쌀, 물, 설탕, 소금",농림축산식품부,
찌개,김치찌개,"배추김치, 돼지고기, 가래떡, 대파, 다진마늘, 참기름, 육수, 고춧가루, 생강즙",농림축산식품부,"has_unclear_broth, has_unclear_jeotgal"
찌개,된장찌개,"멸치, 다시마, 표고버섯, 애호박, 청고추, 홍고추, 두부, 된장, 고춧가루, 다진마늘, 대파, 참기름",농림축산식품부,"has_unclear_broth, has_unclear_jeotgal"
찌개,순두부찌개,"순두부, 돼지고기, 바지락, 배추김치, 양파, 대파, 고춧가루, 다진마늘, 계란, 소금, 후춧가루, 식용유, 물",농림축산식품부,"has_hidden_animal, has_unclear_broth, has_unclear_jeotgal"
찌개,부대찌개,"햄, 소시지, 베이컨, 김치, 두부, 홍고추, 청고추, 깻잎, 스파게티, 쑥갓, 양송이버섯, 물, 고춧가루, 고추장, 설탕, 다진파, 다진마늘",농림축산식품부,"has_hidden_animal, has_unclear_broth, has_variant"
찜,갈비찜,"쇠고기, 무, 당근, 표고버섯, 밤, 계란, 홍고추, 은행, 잣, 간장, 설탕, 청주, 배, 다진파, 다진마늘, 깨소금, 참기름, 후춧가루, 대파",농림축산식품부,has_unclear_seasoning
찜,족발,"돼지 족, 양파, 대파, 생강, 마늘, 통후추, 정향, 된장, 간장, 물, 물엿, 흑설탕, 마른 고추, 새우젓, 다진 마늘, 고춧가루, 통깨",한식진흥원,"has_unclear_jeotgal, has_unclear_seasoning"
탕,갈비탕,"쇠고기, 무, 물, 국간장, 다진파, 다진마늘, 참기름, 후추",농림축산식품부,has_unclear_broth
탕,감자탕,"돼지고기, 감자, 대파, 물, 마늘, 생강, 간장, 고춧가루, 술, 소금, 후춧가루, 청정원맛선생",농림축산식품부,"has_unclear_broth, has_unclear_seasoning"
탕,삼계탕,"닭고기, 찹쌀, 마늘, 대추, 수삼, 대파, 생강, 물, 소금, 후춧가루",농림축산식품부,has_unclear_broth
튀김,새우튀김,"새우, 밀가루, 달걀, 빵가루, 식용유, 소금, 후추, 밀가루, 물",직접추가,
디저트,약과,"밀가루, 참기름, 식용유, 꿀, 조청, 소금, 물, 생강즙, 청주, 맛술, 계피, 물엿, 생강, 깨, 잣, 견과류",직접추가,
디저트,호떡,"밀가루, 물, 우유, 이스트, 설탕, 소금, 식용유, 흑설탕, 계핏가루, 땅콩, 해바라기씨, 호두, 아몬드, 버터",직접추가,
디저트,붕어빵,"밀가루, 찹쌀가루, 베이킹파우더, 설탕, 소금, 달걀, 우유, 물, 식용유, 팥앙금",직접추가,
디저트,슈크림 붕어빵,"붕어빵 레시피
밀가루, 찹쌀가루, 베이킹파우더, 설탕, 소금, 달걀, 우유, 물, 식용유, 커스터드크림, 버터, 바닐라향",직접추가,
회,육회,"쇠고기, 배, 잣가루, 오이, 잣, 상추, 간장, 참기름, 깨소금, 후춧가루, 설탕, 계란노른자",농림축산식품부,
