ingredient_cleaned,count
순,73
밥,32
깨,27
콩나물,17
연두,16
새미네부엌장조림소스,13
진,12
오이,9
파,6
자른미역,6
부침가루,5
토장,5
링,5
버섯,4
미역,4
피망,4
고구마,3
베이컨,3
청양초,3
알룰로스,3
메추리알,3
